City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Sao Joao Da Barra,BR,72.1,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
90,Forio,IT,72.45,broken clouds,40.7342,13.8646,Hotel Terme Providence
91,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
94,Arraial Do Cabo,BR,70.81,few clouds,-22.9661,-42.0278,Pousada Porto Praia
95,Bambous Virieux,MU,71.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
97,Ures,MX,87.85,overcast clouds,29.4333,-110.4,Hotel HACIENDA San Francisco
100,Dhandhuka,IN,79.63,overcast clouds,22.3667,71.9833,Amin Auto
101,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
102,Bubaque,GW,82.69,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
103,Sorong,ID,78.22,light rain,-0.8833,131.25,waigo splash hotel
104,Guerrero Negro,MX,76.91,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
105,Padang,ID,77.86,overcast clouds,-0.9492,100.3543,Mercure Padang
107,Bali,ID,76.23,overcast clouds,-8.5,115.0,"Pondok Pitaya: Hotel, Surfing and Yoga"
108,Kloulklubed,PW,83.66,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
109,Sao Goncalo Do Sapucai,BR,69.28,broken clouds,-21.8922,-45.5953,Novo Hotel
112,Agua Dulce,MX,83.98,overcast clouds,18.1333,-94.1333,Hotel Victoria
114,Mont-Dore,NC,75.0,broken clouds,-22.2833,166.5833,GIte
117,Rosetta,EG,71.76,clear sky,31.4044,30.4164,Green Valley
125,Zhuhai,CN,83.91,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
127,Saint Anthony,US,72.14,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
131,Mayo,US,75.02,clear sky,38.8876,-76.5119,Resorts Resource Group International
133,Miri,MY,75.97,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
134,Vieste,IT,72.34,few clouds,41.8825,16.175,Hotel Falcone
135,Bilma,NE,88.5,clear sky,18.6853,12.9164,Expeditions Ténére voyages
137,Ubatuba,BR,68.56,broken clouds,-23.4339,-45.0711,Hotel Coquille
138,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
140,Cockburn Town,TC,83.14,clear sky,21.4612,-71.1419,Osprey Beach Hotel
142,Coahuayana,MX,85.57,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
144,Caconde,BR,75.29,scattered clouds,-21.5294,-46.6439,HOTEL - HOSPEDAGEM EM CACONDE
147,Tabas,IR,82.45,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
152,Dingle,PH,76.3,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
154,Birjand,IR,68.65,clear sky,32.8663,59.2211,Birjand Tourist Hotel
155,Sabang,ID,80.31,overcast clouds,5.8933,95.3214,Hotel Citra
156,Carbonia,IT,77.02,overcast clouds,39.1672,8.5222,Lu 'Hotel
157,The Valley,AI,85.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
159,Kutum,SD,80.94,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
161,Dong Hoi,VN,78.67,overcast clouds,17.4833,106.6,Nam Long Hotel
162,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
164,Anuradhapura,LK,78.35,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
166,Broome,US,68.85,clear sky,42.2506,-75.833,Chenango Valley State Park
167,Samarai,PG,79.7,broken clouds,-10.6167,150.6667,Nuli Sapi
170,Catuday,PH,78.8,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
174,Fukue,JP,75.15,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
177,Gombe,NG,75.0,broken clouds,10.2897,11.1673,Shinani Lodge
178,Da Nang,VN,77.05,few clouds,16.0678,108.2208,Sun River Hotel
180,Saint-Philippe,RE,71.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
181,Nouadhibou,MR,71.56,broken clouds,20.931,-17.0347,El Medina
186,Moirang,IN,67.26,clear sky,24.5,93.7667,"Lake view hotel, moirang"
188,Georgetown,MY,79.9,thunderstorm,5.4112,100.3354,Cititel Penang
195,Sambava,MG,70.09,clear sky,-14.2667,50.1667,Melrose
197,Martinsburg,US,74.08,clear sky,39.4562,-77.9639,"Holiday Inn Martinsburg, an IHG Hotel"
199,Mitsamiouli,KM,75.96,few clouds,-11.3847,43.2844,Foyer ADM
200,Garissa,KE,74.39,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
201,La Palma,US,94.12,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
202,Conde,BR,74.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
204,Grand-Santi,GF,82.42,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
205,Ambulu,ID,74.55,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
206,Payo,ID,73.17,overcast clouds,-3.7508,103.6372,Mess keban agung
210,Dauphin,CA,73.54,clear sky,51.1494,-100.0502,Canway Inn & Suites
215,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
216,Ahvaz,IR,88.12,clear sky,31.3203,48.6693,tashrifat tourism travel agency
