City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Guerrero Negro,MX,27.9769,-114.0611,76.91,62,85,16.46,overcast clouds
105,Padang,ID,-0.9492,100.3543,77.86,88,98,3.69,overcast clouds
106,Margate,GB,51.3813,1.3862,60.51,94,71,8.05,broken clouds
107,Bali,ID,-8.5,115.0,76.23,93,97,6.02,overcast clouds
108,Kloulklubed,PW,7.0419,134.2556,83.66,75,92,14.32,overcast clouds
109,Sao Goncalo Do Sapucai,BR,-21.8922,-45.5953,69.28,63,61,7.76,broken clouds
110,Sept-Iles,CA,50.2001,-66.3821,57.06,91,71,1.99,broken clouds
111,Broken Hill,AU,-31.95,141.4333,48.65,49,0,15.55,clear sky
112,Agua Dulce,MX,18.1333,-94.1333,83.98,86,100,15.23,overcast clouds
113,Husavik,IS,66.0449,-17.3389,39.34,92,100,16.15,overcast clouds
114,Mont-Dore,NC,-22.2833,166.5833,75.0,98,57,7.63,broken clouds
115,Klaksvik,FO,62.2266,-6.589,54.52,93,100,26.33,overcast clouds
116,Teya,RU,60.3778,92.6267,34.05,90,94,5.32,overcast clouds
117,Rosetta,EG,31.4044,30.4164,71.76,66,0,6.15,clear sky
118,Carnarvon,AU,-24.8667,113.6333,64.47,77,11,8.05,few clouds
119,Saldanha,ZA,-33.0117,17.9442,59.14,93,91,4.47,overcast clouds
120,Atikokan,CA,48.7555,-91.6216,57.34,52,92,4.83,overcast clouds
121,Tasiilaq,GL,65.6145,-37.6368,35.76,66,100,10.4,overcast clouds
122,Dikson,RU,73.5069,80.5464,35.89,83,100,18.75,overcast clouds
123,Yerbogachen,RU,61.2767,108.0108,35.96,78,28,12.53,scattered clouds
124,Lavrentiya,RU,65.5833,-171.0,32.79,83,100,6.69,overcast clouds
125,Zhuhai,CN,22.2769,113.5678,83.91,74,20,9.22,few clouds
126,Evensk,RU,61.95,159.2333,43.93,83,100,1.32,overcast clouds
127,Saint Anthony,US,45.0205,-93.218,72.14,30,1,5.99,clear sky
128,Moose Factory,CA,51.2585,-80.6094,53.58,76,90,16.11,overcast clouds
129,Honggang,CN,46.4667,124.8667,52.61,98,17,5.41,few clouds
130,Ziro,IN,27.6333,93.8333,55.17,94,10,2.62,clear sky
131,Mayo,US,38.8876,-76.5119,75.02,64,1,1.99,clear sky
132,Antofagasta,CL,-23.65,-70.4,58.28,76,19,7.99,few clouds
133,Miri,MY,4.4148,114.0089,75.97,91,100,2.51,overcast clouds
134,Vieste,IT,41.8825,16.175,72.34,62,22,7.09,few clouds
135,Bilma,NE,18.6853,12.9164,88.5,13,1,7.81,clear sky
136,Cherskiy,RU,68.75,161.3,32.27,97,100,13.31,light snow
137,Ubatuba,BR,-23.4339,-45.0711,68.56,91,64,3.27,broken clouds
138,Hithadhoo,MV,-0.6,73.0833,81.84,78,100,16.4,overcast clouds
139,Caconda,AO,-13.7333,15.0667,63.23,65,78,4.16,broken clouds
140,Cockburn Town,TC,21.4612,-71.1419,83.14,70,1,7.49,clear sky
141,Upernavik,GL,72.7868,-56.1549,20.61,69,2,5.79,clear sky
142,Coahuayana,MX,18.7333,-103.6833,85.57,73,88,4.45,overcast clouds
143,Port Macquarie,AU,-31.4333,152.9167,62.89,82,97,12.95,overcast clouds
144,Caconde,BR,-21.5294,-46.6439,75.29,37,29,4.21,scattered clouds
145,Tiksi,RU,71.6872,128.8694,32.23,89,100,20.6,overcast clouds
146,Berlevag,NO,70.8578,29.0864,46.45,85,97,10.11,overcast clouds
147,Tabas,IR,33.5959,56.9244,82.45,6,0,5.03,clear sky
148,Kruisfontein,ZA,-34.0033,24.7314,57.76,58,19,7.43,few clouds
149,Sitka,US,57.0531,-135.33,53.49,62,90,0.0,overcast clouds
150,Kaitangata,NZ,-46.2817,169.8464,46.69,55,6,10.89,clear sky
151,Qaanaaq,GL,77.484,-69.3632,21.96,71,100,6.71,overcast clouds
152,Dingle,PH,10.9995,122.6711,76.3,91,89,4.34,overcast clouds
