City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,San Andres,CO,2021-09-23 21:04:58,12.5847,-81.7006,86.02,70,40,5.75
92,Utena,LT,2021-09-23 21:13:21,55.5,25.6,51.82,96,100,17.07
93,Severo-Kurilsk,RU,2021-09-23 21:13:22,50.6789,156.125,48.72,92,100,25.59
94,Mar Del Plata,AR,2021-09-23 21:13:22,-38.0023,-57.5575,55.42,94,90,6.91
95,Jamestown,US,2021-09-23 21:13:23,42.097,-79.2353,58.59,82,90,5.99
96,Ancud,CL,2021-09-23 21:01:50,-41.8697,-73.8203,55.42,82,96,10.8
97,Roald,NO,2021-09-23 21:13:23,62.5833,6.1333,48.9,81,75,9.22
98,Leningradskiy,RU,2021-09-23 21:13:23,69.3833,178.4167,26.92,93,100,8.63
99,Morgan City,US,2021-09-23 21:13:24,29.6994,-91.2068,79.0,44,1,6.91
100,Coihaique,CL,2021-09-23 21:04:41,-45.5752,-72.0662,56.01,62,75,0.0
101,Chalmette,US,2021-09-23 21:13:25,29.9427,-89.9634,81.12,44,1,1.01
102,Tamiahua,MX,2021-09-23 21:13:25,21.2667,-97.45,79.65,68,57,11.68
103,Yellowknife,CA,2021-09-23 21:13:25,62.456,-114.3525,46.92,87,75,4.61
104,Dikson,RU,2021-09-23 21:13:26,73.5069,80.5464,34.29,67,74,6.15
105,Talnakh,RU,2021-09-23 21:13:26,69.4865,88.3972,34.12,75,6,6.08
106,Puerto Madryn,AR,2021-09-23 21:13:27,-42.7692,-65.0385,67.32,33,18,15.28
107,Maraba,BR,2021-09-23 21:13:27,-5.3686,-49.1178,87.98,32,20,3.44
108,Saint Anthony,US,2021-09-23 21:03:50,45.0205,-93.218,76.66,35,1,1.01
109,Hilo,US,2021-09-23 21:13:28,19.7297,-155.09,84.27,62,40,5.75
110,Saint George,US,2021-09-23 21:11:57,37.1041,-113.5841,95.47,13,1,4.0
111,Vestmannaeyjar,IS,2021-09-23 21:13:28,63.4427,-20.2734,49.14,91,100,14.83
112,Fairbanks,US,2021-09-23 21:10:43,64.8378,-147.7164,41.59,51,75,1.14
113,Port Keats,AU,2021-09-23 21:13:29,-14.25,129.55,65.34,20,19,7.74
114,Helena,US,2021-09-23 21:13:29,46.5927,-112.0361,74.41,32,1,8.01
115,Cabo San Lucas,MX,2021-09-23 21:13:30,22.8909,-109.9124,97.52,74,40,8.05
116,Buanoy,PH,2021-09-23 21:13:30,10.4675,123.6999,78.24,88,100,3.49
117,Venezuela,VE,2021-09-23 21:13:31,8.0,-66.0,85.66,64,100,7.61
118,Palu,ID,2021-09-23 21:13:31,-0.8917,119.8707,73.72,92,56,3.09
119,Callaguip,PH,2021-09-23 21:13:32,18.0714,120.4867,79.52,75,8,5.12
120,Poum,NC,2021-09-23 21:04:45,-20.2333,164.0167,68.65,65,21,6.78
121,Baie-Comeau,CA,2021-09-23 21:12:40,49.2168,-68.1489,54.1,94,90,8.05
122,New Norfolk,AU,2021-09-23 21:13:32,-42.7826,147.0587,49.5,74,94,5.01
123,Laguna,US,2021-09-23 21:01:51,38.421,-121.4238,98.65,25,1,4.0
124,Port Moresby,PG,2021-09-23 21:09:31,-9.4431,147.1797,74.44,88,92,6.26
